GDP(P2010);2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Sweden;312.409,7;319.625,7;333.487,4;343.021,2;359.015,5;371.362,8;369.689,6;353.645,9;374.695,2;386.668,0;384.393,2;388.959,0;399.296,7;417.222,3;425.861,2;436.797,0;445.314,7;454.159,5;444.303,3;468.232,7;480.604,4
Iceland;8.403,4;8.583,4;9.253,1;9.819,8;10.440,2;11.322,9;11.573,0;10.686,1;10.383,4;10.575,0;10.687,5;11.174,1;11.362,6;11.866,7;12.614,8;13.143,9;13.786,6;14.035,4;13.019,0;13.583,2;14.458,6
Norway;288.295,9;291.020,1;302.703,4;310.831,3;318.482,4;327.763,0;329.342,6;322.952,1;325.493,9;329.092,8;338.037,4;341.472,5;348.466,3;354.938,5;359.072,5;367.919,2;370.969,0;375.137,7;370.342,8;384.780,3;397.403,2
Switzerland;382.430,7;382.306,8;392.635,6;403.431,9;419.866,3;436.309,8;448.561,3;438.256,2;452.470,6;460.674,3;466.106,9;474.460,2;485.609,4;493.595,9;503.806,9;510.672,7;525.280,3;531.278,9;518.658,0;540.554,3;551.685,5
United Kingdom;1.677.070,0;1.732.780,3;1.772.396,5;1.824.783,1;1.873.939,1;1.918.174,8;1.912.827,3;1.834.134,6;1.872.175,5;1.896.059,0;1.923.180,1;1.965.223,0;2.021.482,0;2.069.251,0;2.104.891,5;2.141.523,2;2.168.347,7;2.198.071,7;:;:;:
Bosnia and Herzegovina;9.818,6;10.198,3;10.843,4;11.266,0;11.875,9;12.571,7;13.255,9;12.857,6;12.968,9;13.093,3;12.985,7;13.290,9;13.444,2;14.024,3;14.479,0;14.948,7;15.521,1;15.969,0;15.487,6;16.632,3;:
Montenegro;:;:;:;:;2.819,5;3.011,5;3.229,0;3.041,9;3.125,1;3.226,0;3.138,1;3.249,5;3.307,5;3.419,6;3.520,4;3.686,5;3.873,7;4.031,1;3.414,0;3.859,3;4.094,5
North Macedonia;5.216,9;5.332,8;5.582,1;5.845,8;6.146,1;6.544,0;6.902,0;6.877,3;7.108,3;7.274,6;7.241,4;7.453,2;7.723,8;8.021,6;8.250,0;8.339,3;8.579,5;8.915,0;8.497,0;8.831,1;9.020,6
Albania;5.920,3;6.247,6;6.592,2;6.956,5;7.367,1;7.807,9;8.393,5;8.675,0;8.996,6;9.225,6;9.356,4;9.450,1;9.617,8;9.831,2;10.157,1;10.543,3;10.967,1;11.196,0;10.806,2;:;:
Serbia;22.678,4;23.673,4;25.810,7;27.238,1;28.629,4;30.473,0;32.196,4;31.316,9;31.545,8;32.188,2;31.968,8;32.893,6;32.370,7;32.955,4;34.055,6;34.771,2;36.334,2;37.908,1;37.565,7;40.401,9;41.311,5
